ID,Nume,Nr_Camere,Metri_Patrati,Pret,Localizare
7BG00I6UMOF," Dr.Taberei - Parc Moghioros , 1982, decomandat, ",2 camere,53 mp utili,55.000 EUR,"Bucuresti, zona Drumul Taberei "
V0A00H03ACV, AVIATIEI HERASTRAU ,2 camere,54 mp utili,91.500 EUR,"Bucuresti, zona Aviatiei "
7PP1000F8MS," Apartament 2 camere, deosebit, Gradina Icoanei ",2 camere,50 mp utili,69.000 EUR,"Bucuresti, zona Gradina Icoanei (Dacia) "
8VV100000G5," Vanzare apartament 4 camere, 154 mp, garaj, Polona - Stefan cel Mare ",4 camere,154 mp utili,279.900 EUR,"Bucuresti, zona Polona (Dacia) "
9RM00I4THT6, Brancoveanu 2 camere etaj 2 din 3 nou 10 min metrou ,2 camere,59 mp utili,77.500 EUR,"Bucuresti, Sector 4, zona Brancoveanu (Berceni) "
9VQ00I0QPRS, Apartament Joy în ansamblul rezidențial 102 The Address ,2 camere,57.5 mp utili,105.000 EUR + TVA,"Bucuresti, Sector 2, zona Barbu Vacarescu (Floreasca) "
43Q00HSFGGG, Apartament 3 camere | Piata Romana ,3 camere,57 mp utili,76.900 EUR,"Bucuresti, Sector 1, zona P-ta Romana (Ultracentral) "
3HJ10HVG97V, VANZARE APARTAMENT 3 CAMERE ,3 camere,87 mp utili,128.000 EUR,"Bucuresti, Sector 3, zona Calea Calarasilor "
3FJ10000CTS, IMP13244 APARTAMENT 3 CAMERE MOSILOR ,3 camere,66 mp utili,95.000 EUR,"Bucuresti, zona Mosilor "
60S109CUG4I, Vanzari Apartamente 3 Camere Zona Lahovari ,3 camere,81 mp utili,139.000 EUR,"Bucuresti, Sector 1, zona Lahovari (Ultracentral) "
80P1000F64R, Apartament cu 4 camere de vânzare în zona Aparatorii Patriei ,4 camere,78 mp utili,82.000 EUR,"Bucuresti, zona Aparatorii Patriei (Berceni) "
9BA00I738UO, Apartament 3 camere Lujerului ofera ,3 camere,67 mp utili,58.200 EUR,"Bucuresti, Sector 6, zona Lujerului (Militari) "
9IT00I6IKVR, Apartament 3 camere Tineretului - bulevardul Sincai ,3 camere,70 mp utili,123.000 EUR,"Bucuresti, Sector 4, zona Tineretului "
73D00I6TE8H, IDEAL!! Garsoniera modern mobilata - Ideal Residence - Rahova ,o cameră,32.88 mp utili,29.200 EUR,"Bucuresti, Sector 5, zona Rahova "
3B21000FS6P," Apartament 2 camere circular cu hol lung, termopane, usa metalica-Aleea Pascani. ",2 camere,52 mp utili,49.000 EUR,"Bucuresti, zona Drumul Taberei "
4VV00FR8SNS," Apartament 4 camere tip 4H,OFERTA SPECIALA!!!! ",4 camere,100 mp utili,137.000 EUR + TVA,"Bucuresti, zona Pipera "
8QB00I5RJLD, Interesant ,10 camere,115 mp utili,220.000 EUR,"Bucuresti, Sector 3, zona Unirii "
56O00I4A9E9," Brancoveanui metrou 3 minute,rezistent cutremur 8.5 ",2 camere,57 mp utili,68.900 EUR,"Bucuresti, Sector 4, zona Brancoveanu (Berceni) "
83L10003BKI, Apartament 3 camere - Ansamblu Rezidential Cantemir ,3 camere,84.17 mp utili,119.000 EUR + TVA,"Bucuresti, zona P-ta Unirii (Unirii) "
9LG00I5EMA8, Preturi speciale de lansare;GEMA RESIDENCE - 5 min metrou Pacii ,2 camere,61.7 mp utili,61.500 EUR,"Bucuresti, Sector 3, zona Militari "
91G00I6GFRO," Garsoiera, Zona Brancoveanu, Oraselul Copiilor , metrou  ",o cameră,33 mp utili,47.500 EUR,"Bucuresti, Sector 4, zona Brancoveanu (Berceni) "
83400I5DR7D, P-ta Unrii - Fantana mare ,4 camere,90 mp utili,230.000 EUR,"Bucuresti, Sector 3, zona P-ta Unirii (Unirii) "
7CQ100000A6," Apartament 3 camere,Iancu Nicolae,Jolie Ville ",3 camere,111 mp utili,172.500 EUR,"Bucuresti, zona Iancu Nicolae (Pipera) "
8J51000009H, VANZARE APARTAMENT KISELEFF COMPLEX REZIDENTIAL EXCLUSIVIST! ,3 camere,138 mp utili,550.000 EUR,"Bucuresti, zona Kiseleff "
V0D00I21L2H, Apartament 3 camere Cotroceni ,3 camere,83 mp utili,123.000 EUR,"Bucuresti, Sector 5, zona Cotroceni "
56500HKUUAO, Apartament doua camere decomandat - Mihai Bravu metrou ,2 camere,56 mp utili,96.000 EUR,"Bucuresti, Sector 3, zona Mihai Bravu "
3AI100041AN, Apartament 3 camere cu vedere spledida spre parcul Cismigiu ,3 camere,70 mp utili,139.900 EUR,"Bucuresti, Sector 1, zona Cismigiu (Ultracentral) "
98I00I4OPMA," De vanzare apartament 2 camere, Sisesti, Direct Dezvoltator  ",2 camere,50 mp utili,70.535 EUR + TVA,"Bucuresti, Sector 1, zona Baneasa "
6O600GJNSNG," 3 camere decomandate, tva inclus in pret,parcare libera in incinta ",3 camere,73 mp utili,71.000 EUR,"Bucuresti, zona Militari "
81C109CUPHA, Dorobanti | Etaj 1 | 91 mp | 3 Balcoane | Priveliste Extraordinara ,4 camere,80 mp utili,148.000 EUR,"Bucuresti, Sector 1, zona Dorobanti "
5QB1000G77H, Apartament cu 3 camere in zona Baneasa - Straulesti Anunţ nou ,3 camere,62 mp utili,89.990 EUR,"Bucuresti, zona Baneasa "
